NroCliente,EstadoCuenta,Edad,Genero,NroDependientes,NivelEducativo,EstadoCivil,IngresosAnual,TipoTarjeta,Antiguedad,NroProductosBanco,MesesInactivos_Ult_Año,Reclamos_Ult_año,CupoMax,Transacciones_Ult_año
768805383,1,45,1,3,4,2,4,1,39,5,1,3,12691.0,42
818770008,1,49,0,5,5,4,2,1,44,6,1,2,8256.0,33
713982108,1,51,1,3,5,2,5,1,36,4,1,0,3418.0,20
769911858,1,40,0,4,4,1,2,1,34,3,4,1,3313.0,20
709106358,1,40,1,3,2,2,4,1,21,5,1,0,4716.0,28
713061558,1,44,1,2,5,2,3,1,36,3,1,2,4010.0,24
810347208,1,51,1,4,1,2,6,3,46,6,1,3,34516.0,31
818906208,1,32,1,0,4,1,4,2,27,2,2,2,29081.0,36
710930508,1,37,1,3,2,4,4,1,36,5,2,0,22352.0,24
719661558,1,48,1,2,5,4,5,1,36,6,3,3,11656.0,32
708790833,1,42,1,5,2,1,6,1,31,5,3,2,6748.0,42
710821833,1,65,1,1,1,2,3,1,54,6,2,3,9095.0,26
710599683,1,56,1,1,3,4,5,1,36,3,6,0,11751.0,17
816082233,1,35,1,3,5,1,4,1,30,5,1,3,8547.0,33
712396908,1,57,0,2,5,2,2,1,48,5,2,2,2436.0,29
714885258,1,44,1,4,1,1,5,1,37,5,1,2,4234.0,27
709967358,1,48,1,4,6,4,5,1,36,6,2,3,30367.0,27
753327333,1,41,1,3,1,2,5,1,34,4,4,1,13535.0,21
806160108,1,61,1,1,4,2,3,1,56,2,2,3,3193.0,30
709327383,1,45,0,2,5,2,1,1,37,6,1,2,14470.0,21
806165208,1,47,1,1,7,3,4,1,42,5,2,0,20979.0,27
708508758,0,62,0,0,5,2,2,1,49,2,3,3,1438.3,16
784725333,1,41,1,3,4,2,3,1,33,4,2,1,4470.0,18
811604133,1,47,0,4,1,4,2,1,36,3,3,2,2492.0,23
789124683,1,54,1,2,1,2,5,1,42,4,2,3,12217.0,21
771071958,1,41,0,3,5,4,2,1,28,6,1,2,7768.0,22
720466383,1,59,1,1,4,1,3,1,46,4,1,2,14784.0,23
804424383,1,63,1,1,1,2,4,1,56,3,3,2,10215.0,40
718813833,1,44,0,3,2,4,1,1,34,5,2,2,10100.0,18
806624208,1,47,1,4,4,2,3,1,42,6,0,0,4785.0,38
778348233,1,53,1,3,1,2,5,1,33,3,2,3,2753.0,25
712991808,1,53,1,2,2,2,4,1,48,2,5,1,2451.0,26
709029408,1,41,1,4,5,2,4,1,36,4,1,2,8923.0,24
788658483,1,53,0,2,3,2,2,1,38,5,2,3,2650.0,28
787937058,1,58,1,0,5,2,5,1,49,6,2,2,12555.0,24
715318008,1,55,0,1,3,4,2,1,36,4,2,1,3520.0,43
713962233,1,55,0,3,5,2,2,1,36,6,2,3,3035.0,37
785432733,1,42,0,4,4,2,2,3,36,2,3,3,15433.0,22
715190283,1,57,0,1,5,1,3,1,49,3,3,2,3672.0,28
708300483,0,66,0,0,7,2,1,1,56,5,4,3,7882.0,16
827111283,1,45,1,3,5,4,5,1,41,2,2,2,32426.0,28
758551608,1,51,1,2,1,2,3,1,44,4,1,0,6205.0,28
773146383,1,50,0,1,3,4,3,2,43,3,2,3,17304.0,33
778493808,1,49,1,3,4,2,4,1,37,5,2,1,3906.0,32
720572508,1,38,0,4,5,4,1,1,28,2,3,3,9830.0,23
712661433,1,49,1,4,2,4,5,1,30,3,2,3,34516.0,28
789172683,1,56,1,2,7,2,4,1,45,6,2,0,2283.0,27
738406533,1,59,1,1,7,2,3,1,52,3,2,2,2548.0,27
799723908,1,46,1,3,4,2,5,1,40,4,3,3,19458.0,27
771490833,1,52,1,1,3,4,5,1,40,5,1,1,4745.0,40
720756708,1,52,0,3,1,2,2,1,41,6,3,2,2622.0,30
779471883,0,54,0,1,5,2,2,1,40,2,3,1,1438.3,19
711525033,1,66,0,0,4,2,2,1,54,3,4,2,3171.0,38
712813458,1,49,1,2,1,2,6,1,36,4,2,0,19763.0,35
714374133,0,56,1,2,5,2,6,1,36,1,3,3,15769.0,15
717891558,1,49,0,4,5,1,2,1,36,6,4,2,3298.0,32
716632758,1,49,0,3,5,4,2,1,36,2,2,0,2802.0,40
768563658,1,56,1,2,2,2,3,1,50,4,2,3,4458.0,29
711427458,1,44,0,5,5,2,1,1,35,4,1,2,6273.0,25
714091983,1,42,1,2,4,4,4,1,34,4,4,3,3336.0,27
787584108,1,55,1,3,1,2,5,1,47,4,2,3,3436.0,33
712030833,0,48,1,2,5,2,4,2,35,2,4,4,34516.0,15
711481533,1,39,1,1,4,3,4,1,33,5,3,3,5926.0,28
710082708,1,44,1,4,6,4,6,1,32,2,4,2,23957.0,26
708155733,1,53,1,2,4,4,6,1,44,4,2,2,14734.0,23
788979258,1,51,1,4,2,4,5,2,38,4,1,4,34516.0,32
807986133,1,57,1,2,3,2,4,1,52,5,3,3,6584.0,35
788730933,1,44,0,2,2,4,2,1,20,6,3,3,2084.0,28
711314058,1,49,1,2,5,2,4,1,32,2,2,2,1687.0,17
717975333,1,50,1,2,7,2,5,1,38,6,2,2,25300.0,15
715971108,1,51,1,4,5,4,6,1,42,3,2,3,34516.0,41
720096558,1,55,0,2,5,2,2,1,42,5,3,3,2216.0,36
719580033,1,54,1,1,5,1,4,1,43,4,2,3,2910.0,21
820582308,1,42,1,5,2,2,5,1,37,6,2,2,22913.0,35
789973308,1,44,1,1,3,4,4,1,35,3,3,3,24312.0,24
712876233,1,53,1,2,5,4,5,1,36,5,3,2,5272.0,33
804595158,1,44,0,4,5,4,2,1,36,6,4,2,7000.0,23
714826758,1,37,0,3,2,4,2,1,29,4,4,2,7038.0,57
779058108,1,49,1,3,5,3,4,1,30,6,1,2,2536.0,23
710790258,1,47,1,2,5,2,5,1,38,6,3,2,28904.0,35
715623483,1,47,1,3,5,2,4,1,37,4,4,0,8567.0,41
